
############ Experiment A — Balanced / FIFO ############
Params {
    workers: 8,
    total_tasks: 1000,
    arrival_interval_ms: 20,
    task_duration_ms: 200,
    io_probability: 0.7,
    cpu_budget: 100,
    monitor_tick_ms: 10,
    rng_seed: 42,
    policy: Fifo,
    workload: Balanced,
}
[monitor  4019ms] active 5/8 | cpu 100% | queue 90 | total 1000
[monitor  4030ms] active 5/8 | cpu 100% | queue 90 | total 1000
[monitor  4042ms] active 5/8 | cpu 100% | queue 91 | total 1000
[monitor  4052ms] active 5/8 | cpu 100% | queue 92 | total 1000
[monitor  4063ms] active 7/8 | cpu 95% | queue 85 | total 1000
[monitor  4073ms] active 7/8 | cpu 95% | queue 86 | total 1000
[monitor  4083ms] active 7/8 | cpu 95% | queue 86 | total 1000
[monitor  4119ms] active 7/8 | cpu 95% | queue 88 | total 1000
[monitor  4130ms] active 7/8 | cpu 95% | queue 88 | total 1000
[monitor  4140ms] active 7/8 | cpu 95% | queue 89 | total 1000
[monitor  4151ms] active 7/8 | cpu 95% | queue 89 | total 1000
[monitor  4162ms] active 7/8 | cpu 95% | queue 90 | total 1000
[monitor  4174ms] active 7/8 | cpu 95% | queue 91 | total 1000
[monitor  4185ms] active 7/8 | cpu 95% | queue 91 | total 1000
[monitor  4196ms] active 7/8 | cpu 95% | queue 92 | total 1000
[monitor  4207ms] active 7/8 | cpu 95% | queue 92 | total 1000
[monitor  4219ms] active 7/8 | cpu 95% | queue 93 | total 1000
[monitor  4230ms] active 7/8 | cpu 95% | queue 93 | total 1000
[monitor  4241ms] active 7/8 | cpu 95% | queue 94 | total 1000
[monitor  4252ms] active 7/8 | cpu 95% | queue 94 | total 1000
[monitor  4264ms] active 4/8 | cpu 90% | queue 91 | total 1000
[monitor  4275ms] active 4/8 | cpu 90% | queue 92 | total 1000
[monitor  4286ms] active 4/8 | cpu 90% | queue 92 | total 1000
[monitor  4297ms] active 4/8 | cpu 90% | queue 93 | total 1000
[monitor  4308ms] active 4/8 | cpu 90% | queue 93 | total 1000
[monitor  4321ms] active 4/8 | cpu 90% | queue 94 | total 1000
[monitor  4332ms] active 4/8 | cpu 90% | queue 94 | total 1000
[monitor  4342ms] active 4/8 | cpu 90% | queue 95 | total 1000
[monitor  4354ms] active 4/8 | cpu 90% | queue 95 | total 1000
[monitor  4366ms] active 4/8 | cpu 90% | queue 96 | total 1000
[monitor  4377ms] active 4/8 | cpu 90% | queue 97 | total 1000
[monitor  4389ms] active 4/8 | cpu 90% | queue 97 | total 1000
[monitor  4401ms] active 4/8 | cpu 90% | queue 98 | total 1000
[monitor  4412ms] active 4/8 | cpu 90% | queue 98 | total 1000
[monitor  4423ms] active 4/8 | cpu 90% | queue 99 | total 1000
[monitor  4435ms] active 4/8 | cpu 90% | queue 99 | total 1000
[monitor  4446ms] active 4/8 | cpu 90% | queue 100 | total 1000
